Suburb,Address,Rooms,Type,Price,SellerG,Date,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Glenroy,19 Wheatsheaf Rd,3,h,895K,Barry,6/5/17,3046,3,1,2,697,148,1955,Moreland,-37.7097,144.9256,Northern Metropolitan,8870
Eltham,119 Dalton St,3,h,915K,Fletchers,16/09/2017,3095,3,2,2,795,146,1960,,-37.72503,145.15142,Eastern Metropolitan,6990
Viewbank,37 Eamon Dr,3,h,770K,Barry,4/6/16,3084,3,2,2,577,135,1970,Banyule,-37.7376,145.0895,Eastern Metropolitan,2698
Fawkner,46 Marlborough St,2,h,786K,Brad,27/05/2017,3060,2,1,4,687,94,1960,Moreland,-37.71833,144.96935,Northern Metropolitan,5070
Glenroy,134 John St,3,h,575500,hockingstuart,8/10/16,3046,3,1,1,701,,,Moreland,-37.6953,144.9397,Northern Metropolitan,8870
Newport,74 Alma Tce,4,h,2337K,Williams,29/04/2017,3015,4,2,3,580,222,1890,Hobsons Bay,-37.8477,144.8903,Western Metropolitan,5498
Keilor East,154 Milleara Rd,3,h,725K,Nelson,4/6/16,3033,3,1,1,657,,1965,Moonee Valley,-37.7411,144.8638,Western Metropolitan,5629
Sunbury,60 Riddell Rd,3,h,482K,YPA,16/09/2017,3429,3,1,1,573,126,1965,,-37.57123,144.72334,Western Metropolitan,14092
Moonee Ponds,36 Primrose St,3,h,1065K,McDonald,10/12/16,3039,3,1,1,395,,,Moonee Valley,-37.7593,144.9276,Western Metropolitan,6232
Fairfield,147 Gillies St,3,h,1375K,McGrath,28/08/2016,3078,3,1,1,496,122,1910,Darebin,-37.7737,145.018,Northern Metropolitan,2970
Glen Iris,1 Maitland St,3,h,2825K,Jellis,17/09/2016,3146,4,2,4,885,217,1910,Stonnington,-37.8577,145.0421,Southern Metropolitan,10412
Doncaster East,8 Raven St,3,h,1423K,Ray,8/7/17,3109,3,2,2,643,,,Manningham,-37.79357,145.15318,Eastern Metropolitan,10999
Richmond,32 Jubilee Pl,2,h,1042500,hockingstuart,4/3/17,3121,2,1,1,80,,,Yarra,-37.8126,145.004,Northern Metropolitan,14949
Ascot Vale,68 South St,3,h,1375K,Brad,24/06/2017,3032,3,1,2,483,,,Moonee Valley,-37.7777,144.92512,Western Metropolitan,6567
Ascot Vale,44 The Parade,4,h,1850K,Brad,4/3/17,3032,4,3,1,478,270,1900,Moonee Valley,-37.7729,144.9179,Western Metropolitan,6567
Sunshine North,46 Ferndale Rd,3,h,621K,Douglas,17/09/2016,3020,3,1,1,619,,,Brimbank,-37.7665,144.8358,Western Metropolitan,4217
Preston,5 Ventnor St,3,h,1123K,hockingstuart,22/08/2016,3072,3,1,2,504,506,1950,Darebin,-37.7476,144.9842,Northern Metropolitan,14577
Mount Waverley,2/36 Swayfield Rd,3,t,1011K,McGrath,3/6/17,3149,3,2,2,297,135,2001,Monash,-37.8605,145.12853,Eastern Metropolitan,13366
Epping,1 Centurion Ct,3,h,600K,Love,15/07/2017,3076,3,1,2,524,155,1970,Whittlesea,-37.64273,145.03751,Northern Metropolitan,10926
Balwyn,4/30 Weir St,2,u,605K,Marshall,4/6/16,3103,2,1,1,0,,,Boroondara,-37.8152,145.0843,Southern Metropolitan,5682
Sunshine,7 High St,3,h,780K,Sweeney,4/3/17,3020,3,1,0,486,115,1943,Brimbank,-37.7886,144.8438,Western Metropolitan,3755
Footscray,49 MacPherson St,2,h,661K,Sweeney,22/08/2016,3011,2,1,1,132,83,1970,Maribyrnong,-37.7946,144.8903,Western Metropolitan,7570
Prahran,3/6 Miller St,2,t,1190K,Jellis,27/05/2017,3181,2,1,2,57,,,Stonnington,-37.84839,145.0013,Southern Metropolitan,7717
Croydon,33 Jackson St,3,h,662K,hockingstuart,15/07/2017,3136,3,1,1,396,120,1950,Maroondah,-37.79486,145.28674,Eastern Metropolitan,11925
Taylors Lakes,13 Apollo Rd,3,h,685K,Barry,29/07/2017,3038,3,1,2,678,,,Brimbank,-37.70892,144.80087,Western Metropolitan,5336
Balaclava,18 Linton St,4,h,1819K,Gary,3/9/16,3183,3,2,1,244,180,1900,Port Phillip,-37.8668,144.9928,Southern Metropolitan,2952
Brunswick East,3/6 Methven St,2,u,632K,McDonald,20/05/2017,3057,2,1,2,65,,1960,Moreland,-37.7724,144.9741,Northern Metropolitan,5533
Brunswick,52 Talbot St,2,h,755K,Nelson,30/07/2016,3056,2,1,1,159,157,1930,Moreland,-37.7656,144.9562,Northern Metropolitan,11918
Dandenong North,110 Gladstone Rd,3,h,627K,Barry,1/7/17,3175,3,1,1,610,120,1970,Greater Dandenong,-37.96322,145.20586,South-Eastern Metropolitan,8322
Glen Iris,5 Charles St,4,h,2010K,Marshall,10/12/16,3146,4,2,2,659,212,1930,Boroondara,-37.8509,145.0916,Southern Metropolitan,10412
Reservoir,1/21 Dumbarton St,3,u,475K,Ray,3/9/16,3073,3,1,1,191,107,1990,Darebin,-37.7019,145.0256,Northern Metropolitan,21650
East Melbourne,4/24 Hotham St,2,u,810K,Biggin,13/05/2017,3002,2,1,1,944,,,Melbourne,-37.8144,144.9896,Northern Metropolitan,3040
Reservoir,1/209 Purinuan Rd,2,t,652K,Nelson,13/05/2017,3073,2,2,2,254,93,2007,Darebin,-37.7071,145.0108,Northern Metropolitan,21650
Hoppers Crossing,182 Morris Rd,3,h,516K,hockingstuart,12/8/17,3029,3,1,1,537,,,Wyndham,-37.86833,144.7035,Western Metropolitan,13830
Reservoir,5/2 Griffiths St,2,u,420K,Harcourts,10/12/16,3073,2,1,0,207,,,Darebin,-37.7145,144.9962,Northern Metropolitan,21650
Heathmont,38 Daisy St,3,h,1040K,Philip,12/8/17,3135,3,1,1,756,,1961,Maroondah,-37.82909,145.233,Eastern Metropolitan,3794
Silvan,1 Parker Rd,4,h,1070K,Ray,24/06/2017,3795,4,2,3,38490,,,Yarra Ranges,-37.83229,145.43003,Eastern Victoria,457
North Melbourne,2/63 Brougham St,2,u,726K,Jellis,4/3/17,3051,2,1,1,0,64,1970,Melbourne,-37.7936,144.9426,Northern Metropolitan,6821
Essendon,5/322 Buckley St,2,u,460K,Nelson,14/05/2016,3040,2,1,1,0,72,1960,Moonee Valley,-37.7545,144.8964,Western Metropolitan,9264
Malvern,18 Chandlers Rd,3,h,2250K,Marshall,13/05/2017,3144,3,2,2,192,191,2010,Stonnington,-37.8654,145.0297,Southern Metropolitan,4675
Carnegie,34 Hunter St,3,h,1390K,Gary,20/05/2017,3163,3,2,2,585,,,Glen Eira,-37.9027,145.0582,Southern Metropolitan,7822
Bentleigh,21 Charlton St,3,h,1280K,Buxton,25/02/2017,3204,3,2,4,587,,,Glen Eira,-37.9217,145.0315,Southern Metropolitan,6795
Carnegie,2/60 Woornack Rd,2,u,635K,Noel,6/5/17,3163,2,1,1,0,73,1980,Glen Eira,-37.8981,145.0619,Southern Metropolitan,7822
Hampton,139 Linacre Rd,5,h,2520K,Buxton,6/8/16,3188,5,4,2,661,,1960,Bayside,-37.9438,145.0184,Southern Metropolitan,5454
Reservoir,54 Pine St,3,h,793K,Barry,26/07/2016,3073,3,1,2,589,128,1950,Darebin,-37.7195,144.9982,Northern Metropolitan,21650
Boronia,8 Darwin Rd,3,h,775K,Ray,8/7/17,3155,3,1,2,720,131,1970,Knox,-37.86126,145.25808,Eastern Metropolitan,9704
Heidelberg,55 Hodgson St,3,h,1076K,Miles,24/09/2016,3084,3,1,2,674,,,Banyule,-37.749,145.0731,Eastern Metropolitan,2890
Brighton East,7/87 Thomas St,2,u,770K,Hodges,18/03/2017,3187,2,1,2,157,,,Bayside,-37.911,145.0236,Southern Metropolitan,6938
Thornbury,129 Clarendon St,3,h,1370K,Jellis,27/11/2016,3071,3,2,3,417,153,1930,Darebin,-37.7602,145.0084,Northern Metropolitan,8870
Flemington,1/15 Dartford St,2,u,391K,Nelson,8/10/16,3031,2,1,1,0,59,1970,Moonee Valley,-37.7825,144.9239,Northern Metropolitan,3593
Niddrie,2 Kelvin Cl,4,h,1080K,Nelson,17/09/2016,3042,3,3,2,539,162,1976,Moonee Valley,-37.7444,144.8847,Western Metropolitan,2291
Brunswick,23/10 Breese St,2,u,501K,Nelson,18/03/2017,3056,2,1,1,1140,80,2010,Moreland,-37.7634,144.9616,Northern Metropolitan,11918
Reservoir,16 Muriel Ct,3,h,825K,RW,1/7/17,3073,3,2,5,537,,,Darebin,-37.70047,145.02881,Northern Metropolitan,21650
Preston,33 Gordon Gr,4,h,871K,Ray,27/11/2016,3072,4,2,1,561,150,1950,Darebin,-37.7369,145.0201,Northern Metropolitan,14577
Gisborne,204 Panorama Dr,4,h,780K,Raine,9/9/17,3437,4,3,2,20200,189,1985,,-37.49674,144.62618,Northern Victoria,3376
Avondale Heights,7A Downland Sq,4,h,773K,Moonee,24/06/2017,3034,4,2,2,344,235,2004,Moonee Valley,-37.75861,144.86687,Western Metropolitan,4502
Bentleigh East,59 Tambet St,4,t,1160K,hockingstuart,6/8/16,3165,3,2,2,321,180,2006,Glen Eira,-37.914,145.0714,Southern Metropolitan,10969
Lalor,6 Willard Ct,4,h,660K,Harcourts,15/07/2017,3075,4,2,3,578,,,Whittlesea,-37.66225,145.0116,Northern Metropolitan,8279
Ashburton,3/39 Solway St,3,t,2050K,Fletchers,3/12/16,3147,3,3,4,310,315,2014,Boroondara,-37.874,145.0714,Southern Metropolitan,3052
Kew,1/18 Howard St,2,u,600K,Nelson,24/06/2017,3101,2,1,1,847,,,Boroondara,-37.80798,145.02347,Southern Metropolitan,10331
Parkville,50 Strickland Rd,4,h,1230K,Nelson,3/9/16,3052,4,2,2,357,249,2009,Melbourne,-37.7767,144.9403,Northern Metropolitan,2309
Kensington,32 Epsom Rd,2,h,825K,Rendina,14/05/2016,3031,2,1,1,211,88,1915,Melbourne,-37.7925,144.9264,Northern Metropolitan,5263
Maidstone,35 Lindenow St,3,h,876K,Biggin,8/7/17,3012,3,1,2,420,,,Maribyrnong,-37.77915,144.88137,Western Metropolitan,3873
Carnegie,3 Oakleigh Rd,3,h,1620K,Buxton,3/12/16,3163,3,1,1,808,,,Glen Eira,-37.8982,145.0461,Southern Metropolitan,7822
Preston,216 Gower St,3,h,965K,hockingstuart,7/11/16,3072,3,1,2,581,,,Darebin,-37.7411,145.0115,Northern Metropolitan,14577
Mitcham,16 Burnett St,4,h,1302K,Noel,17/06/2017,3132,4,1,1,842,160,1950,Whitehorse,-37.81235,145.19756,Eastern Metropolitan,6871
Chadstone,2/4 Lenna Ct,3,t,865K,Buxton,7/11/16,3148,3,2,2,277,143,2010,Monash,-37.8796,145.1044,Southern Metropolitan,3582
Pascoe Vale,1/22 Joffre Rd,3,u,736K,Nelson,27/05/2017,3044,3,1,0,278,116,1950,Moreland,-37.71798,144.93965,Northern Metropolitan,7485
Ascot Vale,7 Dalgety Dr,3,h,995K,Nelson,26/07/2016,3032,3,2,1,314,177,2010,Moonee Valley,-37.7778,144.9042,Western Metropolitan,6567
Ivanhoe,15 Kwinana Ct,3,h,1223500,Nelson,22/08/2016,3079,3,2,2,721,136,1980,Banyule,-37.758,145.0408,Eastern Metropolitan,5549
Doncaster East,39A George St,3,t,970K,Ray,29/07/2017,3109,3,2,2,283,,,Manningham,-37.78177,145.15818,Eastern Metropolitan,10999
Balwyn North,1 Hosken St,5,h,2800K,Marshall,26/08/2017,3104,5,2,2,1173,0,1960,,-37.80385,145.09094,Southern Metropolitan,7809
Bulleen,43 Robert St,1,h,1310K,Jellis,27/05/2017,3105,1,1,1,604,,1999,Manningham,-37.75981,145.08599,Eastern Metropolitan,4480
Moonee Ponds,11 Murray St,3,h,1240K,Jellis,9/9/17,3039,3,2,2,784,172,2007,,-37.75947,144.92542,Western Metropolitan,6232
Box Hill,20 Graham Pl,3,h,2831K,Lindellas,3/9/17,3128,3,1,3,1100,,,,-37.8164,145.12964,Eastern Metropolitan,4605
Balwyn North,3 Highbury St,3,h,2000K,R&H,4/3/17,3104,3,1,3,772,,,Boroondara,-37.7938,145.0732,Southern Metropolitan,7809
Hadfield,24 South St,3,t,750K,Stockdale,12/6/16,3046,3,2,2,301,251,2011,Moreland,-37.715,144.9475,Northern Metropolitan,2606
Mooroolbark,11 Western Wy,3,h,760K,Fletchers,26/08/2017,3138,3,1,2,864,,,,-37.76983,145.31687,Eastern Victoria,8280
Camberwell,16 Callanish Rd,3,h,2220K,Marshall,27/11/2016,3124,3,2,2,850,,,Boroondara,-37.8456,145.0865,Southern Metropolitan,8920
Hughesdale,37 Darling St,3,h,1210K,Ray,22/08/2016,3166,3,1,2,730,122,1940,Monash,-37.9034,145.0796,Southern Metropolitan,3145
Moorabbin,23 Franklin St,4,h,1070K,Buxton,18/03/2017,3189,4,2,1,603,140,1955,Kingston,-37.9381,145.0534,Southern Metropolitan,2555
Glen Iris,18 Watson St,4,h,2340K,Marshall,13/05/2017,3146,4,2,2,586,,,Boroondara,-37.8541,145.0738,Southern Metropolitan,10412
Bayswater North,12 Baker Rd,3,h,616K,Ray,17/06/2017,3153,3,2,0,586,115,1999,Maroondah,-37.82273,145.27323,Eastern Metropolitan,3598
Albert Park,54 Brooke St,2,h,1550K,Sotheby's,7/5/16,3206,2,1,1,167,,,Port Phillip,-37.8405,144.9521,Southern Metropolitan,3280
Yarraville,66 Drew St,2,h,1256K,hockingstuart,22/04/2017,3013,2,1,3,531,111,1940,Maribyrnong,-37.8158,144.8707,Western Metropolitan,6543
Coburg,1/115 Harding St,2,u,590K,Nelson,20/05/2017,3058,2,1,1,79,,,Moreland,-37.746,144.9768,Northern Metropolitan,11204
Bentleigh East,106 Parkmore Rd,3,h,1110K,Woodards,10/12/16,3165,3,1,4,612,,,Glen Eira,-37.9159,145.0733,Southern Metropolitan,10969
Armadale,2/26 Mercer Rd,2,u,820K,Jellis,3/9/17,3143,2,1,1,1501,,,,-37.8528,145.02684,Southern Metropolitan,4836
Box Hill,33 Pendle St,4,h,1670K,Noel,17/09/2016,3128,4,4,4,707,162,1926,Whitehorse,-37.8166,145.1354,Eastern Metropolitan,4605
Brunswick East,2/175 Blyth St,2,h,580K,Nelson,4/3/17,3057,2,1,1,0,65,1975,Moreland,-37.7668,144.9765,Northern Metropolitan,5533
South Yarra,7/44 Darling St,2,u,630K,Thomson,17/09/2016,3141,2,1,1,0,,,Stonnington,-37.8361,144.9921,Southern Metropolitan,14887
Kew,51 Rowland St,2,h,4800K,Jellis,3/9/16,3101,2,2,1,697,,,Boroondara,-37.812,145.0547,Southern Metropolitan,10331
Surrey Hills,3/11 Norfolk Rd,3,t,1330500,Fletchers,3/12/16,3127,3,2,2,226,,2004,Boroondara,-37.8275,145.0958,Southern Metropolitan,5457
Albert Park,44 Greig St,2,h,1750K,Marshall,27/11/2016,3206,2,1,1,162,,,Port Phillip,-37.8416,144.9488,Southern Metropolitan,3280
Clifton Hill,66 Noone St,2,h,780K,Harrington,4/6/16,3068,2,1,1,155,85,1880,Yarra,-37.7934,144.9922,Northern Metropolitan,2954
Coburg North,38 Galeka St,3,h,875K,hockingstuart,8/4/17,3058,3,1,1,592,,,Moreland,-37.72,144.9577,Northern Metropolitan,3445
Ascot Vale,57 Monash St,3,h,1350K,Brad,18/03/2017,3032,3,1,3,575,,,Moonee Valley,-37.7828,144.9049,Western Metropolitan,6567
Port Melbourne,203 Station St,3,h,2400K,Greg,8/4/17,3207,3,2,2,368,226,1880,Port Phillip,-37.8323,144.9463,Southern Metropolitan,8648
Richmond,401/18 Tanner St,2,u,691K,Biggin,15/10/2016,3121,2,2,1,0,85,2008,Yarra,-37.8231,144.9906,Northern Metropolitan,14949
Kew East,11 Arden Ct,4,h,2162K,Jellis,3/6/17,3102,4,2,3,794,192,1950,Boroondara,-37.79172,145.05863,Southern Metropolitan,2671
Hadfield,56 Middle St,3,h,725K,Stockdale,13/05/2017,3046,3,1,2,585,,,Moreland,-37.71,144.9464,Northern Metropolitan,2606
Brighton East,13 Hornby St,4,h,2840K,Hodges,10/9/16,3187,5,2,2,999,274,1972,Bayside,-37.9135,145.0189,Southern Metropolitan,6938
Epping,2/8 Zurzolo Tce,2,h,417500,Harcourts,8/7/17,3076,2,1,1,157,102,2K,Whittlesea,-37.64827,145.05317,Northern Metropolitan,10926
Maribyrnong,44 Blair St,2,t,410K,Biggin,10/9/16,3032,2,1,2,53,71,2000,Maribyrnong,-37.7736,144.8798,Western Metropolitan,4918
Fitzroy,124 Victoria St,3,h,2478K,Nelson,19/08/2017,3065,3,2,,205,106,1885,,-37.79933,144.97932,Northern Metropolitan,5825
Balwyn,3/12 Brenbeal St,2,u,730K,hockingstuart,28/08/2016,3103,2,1,1,130,80,1960,Boroondara,-37.812,145.0876,Southern Metropolitan,5682
Richmond,41 Shelley St,3,h,1465K,Biggin,12/11/16,3121,3,2,2,233,170,1993,Yarra,-37.8122,144.9937,Northern Metropolitan,14949
Bentleigh East,4 Wingate St,4,h,1472500,hockingstuart,28/08/2016,3165,4,2,2,592,219,2013,Glen Eira,-37.9351,145.0572,Southern Metropolitan,10969
Sunshine,16 Couch St,4,h,930K,Jas,19/11/2016,3020,4,2,2,504,174,2005,Brimbank,-37.7952,144.8325,Western Metropolitan,3755
Eltham,6 Orbel Ct,3,h,805K,Barry,1/7/17,3095,3,2,0,848,127,1979,Nillumbik,-37.70913,145.1647,Eastern Metropolitan,6990
Armadale,1/403 Dandenong Rd,2,u,520K,hockingstuart,27/06/2016,3143,1,1,1,0,76,1970,Stonnington,-37.8618,145.0183,Southern Metropolitan,4836
Carnegie,3/9 Poplar Gr,1,u,305K,Woodards,8/4/17,3163,1,1,1,0,46,1960,Glen Eira,-37.8858,145.0632,Southern Metropolitan,7822
Yarraville,443 Geelong Rd,3,h,725K,Sweeney,24/09/2016,3013,3,1,5,558,128,1940,Maribyrnong,-37.8119,144.868,Western Metropolitan,6543
Northcote,3 Atkinson St,3,h,1080K,Harrington,28/08/2016,3070,2,1,1,348,130,1910,Darebin,-37.7799,145.011,Northern Metropolitan,11364
Ashburton,2a Liberator St,2,u,925K,Jellis,8/4/17,3147,2,1,2,257,,,Boroondara,-37.866,145.089,Southern Metropolitan,3052
Watsonia,5 Princes St,3,h,645K,Ray,28/08/2016,3087,3,1,1,355,111,1966,Banyule,-37.7065,145.0825,Northern Metropolitan,2329
Nunawading,90 Springvale Rd,3,h,926K,Fletchers,1/7/17,3131,3,1,0,738,,1954,Whitehorse,-37.81376,145.17641,Eastern Metropolitan,4973
Mordialloc,3/2 Woods Av,1,u,309K,Barry,22/07/2017,3195,1,1,1,57,42,1978,Kingston,-38.00331,145.09425,South-Eastern Metropolitan,3650
Croydon Hills,4 Merrill Cr,3,h,790K,Hoskins,3/9/17,3136,3,2,2,659,131,1987,,-37.77473,145.26256,Eastern Metropolitan,1705
Oakleigh South,107 Golf Rd,3,h,1067K,Woodards,25/02/2017,3167,3,1,2,648,122,1940,Monash,-37.9196,145.0876,South-Eastern Metropolitan,3692
Malvern East,3 Carmelo Av,3,h,1430K,Buxton,3/9/17,3145,3,1,1,641,,,,-37.87811,145.07778,Southern Metropolitan,8801
Newport,20 Bruce St,2,h,762K,Williams,16/07/2016,3015,2,1,2,451,,,Hobsons Bay,-37.8349,144.8714,Western Metropolitan,5498
Newport,99 Anderson St,3,h,785K,RT,8/10/16,3015,3,1,1,185,,,Hobsons Bay,-37.8447,144.8734,Western Metropolitan,5498
South Yarra,51 Moore St,2,h,1160K,Jellis,1/7/17,3141,2,1,0,140,,,Stonnington,-37.84369,144.98914,Southern Metropolitan,14887
Fitzroy North,168 Scotchmer St,3,h,1581K,Jellis,28/05/2016,3068,3,1,0,193,132,1910,Yarra,-37.7836,144.985,Northern Metropolitan,6244
Preston,342 Gilbert Rd,4,h,1315K,Barry,19/11/2016,3072,4,3,2,836,,1941,Darebin,-37.7379,144.9903,Northern Metropolitan,14577
Richmond,2/175 Kent St,2,t,855K,Jellis,10/9/16,3121,2,1,1,92,115,1970,Yarra,-37.815,145.008,Northern Metropolitan,14949
Pascoe Vale,1/43 Surrey St,2,h,478K,Nelson,27/05/2017,3044,2,1,1,0,73,1960,Moreland,-37.72436,144.94855,Northern Metropolitan,7485
Richmond,18 Buckingham St,3,h,900K,Biggin,17/09/2016,3121,3,3,1,58,60,2009,Yarra,-37.8139,145.0012,Northern Metropolitan,14949
Hampton,73 Linacre Rd,3,h,1403K,Hodges,10/12/16,3188,3,1,2,495,,,Bayside,-37.9428,145.0092,Southern Metropolitan,5454
Port Melbourne,143 Pickles St,3,h,1916K,Greg,8/10/16,3207,2,2,1,190,,1900,Port Phillip,-37.8393,144.947,Southern Metropolitan,8648
Essendon North,2/17 Bulla Rd,2,u,396K,Barry,3/9/16,3041,2,1,1,0,56,1975,Moonee Valley,-37.7428,144.9086,Western Metropolitan,1308
Rosanna,70 McCrae Rd,3,h,780K,Barry,11/2/17,3084,3,1,2,627,154,1970,Banyule,-37.7367,145.0797,Eastern Metropolitan,3540
Burwood,1/14 Corrigan St,3,h,790K,Fletchers,7/11/16,3125,3,1,2,318,103,1960,Whitehorse,-37.8544,145.1114,Southern Metropolitan,5678
Malvern East,7 Nyora St,3,h,2265K,Marshall,3/6/17,3145,3,2,2,531,,,Stonnington,-37.86749,145.05122,Southern Metropolitan,8801
Surrey Hills,20 Anderson St,3,h,1251K,Woodards,28/05/2016,3127,4,2,1,536,211,1930,Boroondara,-37.8309,145.0946,Southern Metropolitan,5457
Carlton,11/108 Elgin St,2,u,995K,Woodards,22/04/2017,3053,2,2,1,0,110,2000,Melbourne,-37.7973,144.9712,Northern Metropolitan,6786
Moonee Ponds,43 Chaucer St,3,h,1440K,Nelson,4/3/17,3039,3,2,1,287,196,1880,Moonee Valley,-37.7698,144.9214,Western Metropolitan,6232
Hampton,66a Thomas St,3,h,1120K,hockingstuart,7/5/16,3188,4,2,3,373,113,1984,Bayside,-37.9395,145.0088,Southern Metropolitan,5454
Hadfield,25 Francis St,4,h,918K,Brad,11/2/17,3046,4,2,2,763,,,Moreland,-37.7123,144.9426,Northern Metropolitan,2606
Kew East,2/37 Strathalbyn St,2,u,605K,Nelson,7/5/16,3102,2,1,1,0,83,1960,Boroondara,-37.7969,145.0511,Southern Metropolitan,2671
Hawthorn,3/3 Glenroy Rd,1,u,535K,hockingstuart,8/4/17,3122,1,1,1,918,50,2006,Boroondara,-37.8294,145.033,Southern Metropolitan,11308
Hampton,13 Mills St,2,t,1285K,Hodges,24/06/2017,3188,2,1,1,348,100,1992,Bayside,-37.93557,145.00463,Southern Metropolitan,5454
Brunswick,28 Blair St,2,h,1100K,Nelson,10/9/16,3056,2,1,0,153,,1900,Moreland,-37.7705,144.9647,Northern Metropolitan,11918
Hawthorn,2/5 Finchley Ct,2,u,806K,Noel,4/6/16,3122,2,1,1,0,64,1930,Boroondara,-37.8249,145.0342,Southern Metropolitan,11308
Caulfield North,1/41 Narong Rd,2,u,665K,Woodards,3/6/17,3161,2,1,1,0,93,1970,Glen Eira,-37.86827,145.02113,Southern Metropolitan,6923
Moorabbin,5 Schofield St,4,h,1426K,McGrath,10/9/16,3189,4,2,1,720,218,1950,Kingston,-37.9394,145.0408,Southern Metropolitan,2555
Reservoir,26 York St,3,h,871K,Nelson,19/11/2016,3073,3,1,3,614,,,Darebin,-37.7276,144.989,Northern Metropolitan,21650
West Footscray,5 Gwelo St,3,h,935K,Sweeney,27/11/2016,3012,3,2,3,466,,1940,Maribyrnong,-37.8019,144.8663,Western Metropolitan,5058
Clifton Hill,1/1 Marshall Pl,4,h,1506K,Nelson,25/02/2017,3068,4,2,0,162,169,1995,Yarra,-37.7885,144.9994,Northern Metropolitan,2954
Ascot Vale,2/41 Sandown Rd,3,t,855K,Alexkarbon,22/07/2017,3032,3,1,2,159,129,2011,Moonee Valley,-37.78329,144.91842,Western Metropolitan,6567
Mitcham,2 Hardwood Ct,5,h,1150K,Fletchers,23/09/2017,3132,5,2,2,588,,1970,,-37.81153,145.1855,Eastern Metropolitan,6871
Abbotsford,123/56 Nicholson St,2,u,750K,Biggin,12/11/16,3067,2,2,1,0,94,2009,Yarra,-37.8078,144.9965,Northern Metropolitan,4019
Sunshine North,97 Cumberland St,3,h,600K,Douglas,7/5/16,3020,3,1,3,634,,,Brimbank,-37.7667,144.8445,Western Metropolitan,4217
Reservoir,4/134 McMahon Rd,2,u,357500,Ray,7/5/16,3073,2,1,1,129,,,Darebin,-37.7099,145.0131,Northern Metropolitan,21650
Coburg,12 Gordon St,4,h,865K,Brad,16/04/2016,3058,4,1,1,452,125,1925,Moreland,-37.7525,144.948,Northern Metropolitan,11204
Croydon,24 Abraham Dr,4,h,720K,Ray,27/05/2017,3136,4,2,3,879,,,Maroondah,-37.79079,145.30208,Eastern Metropolitan,11925
Mernda,5 Haig St,3,h,547K,Ray,19/08/2017,3754,3,2,2,410,135,2012,,-37.59665,145.08877,Northern Metropolitan,5812
South Yarra,1109/800 Chapel St,2,u,857K,LITTLE,1/7/17,3141,2,2,2,0,,2000,Stonnington,-37.83613,144.99661,Southern Metropolitan,14887
Kew,30 Stirling St,3,h,2180K,Jellis,19/08/2017,3101,3,1,2,372,126,1905,,-37.80946,145.04251,Southern Metropolitan,10331
Springvale,13 Kallista Rd,3,h,760K,Win,15/07/2017,3171,3,1,1,593,,,Greater Dandenong,-37.95743,145.14625,South-Eastern Metropolitan,7412
Heidelberg,17/127 Hawdon St,2,u,579K,Nelson,11/3/17,3084,2,1,2,4497,,,Banyule,-37.7529,145.065,Eastern Metropolitan,2890
Essendon,74 Forrester St,4,h,1275K,Brad,12/11/16,3040,4,2,2,503,160,2008,Moonee Valley,-37.7513,144.8925,Western Metropolitan,9264
Port Melbourne,67 Ross St,3,h,1665K,Greg,1/7/17,3207,3,3,2,121,,,Port Phillip,-37.83591,144.93648,Southern Metropolitan,8648
North Melbourne,90 Molesworth St,3,h,1635K,Nelson,3/9/16,3051,2,1,0,517,,,Melbourne,-37.7967,144.9472,Northern Metropolitan,6821
Ivanhoe,7 Robbins St,3,h,1340K,Miles,7/5/16,3079,2,1,1,571,,,Banyule,-37.7614,145.0433,Eastern Metropolitan,5549
Clayton South,48 McMillan St,4,h,962K,C21,15/07/2017,3169,4,2,4,724,,,Kingston,-37.93197,145.12219,South-Eastern Metropolitan,4734
Brighton,101 Male St,3,h,1935K,RT,3/6/17,3186,3,2,1,385,161,1940,Bayside,-37.91068,145.00394,Southern Metropolitan,10579
Reservoir,129 Spring St,2,h,623500,Nelson,22/08/2016,3073,2,1,0,452,,,Darebin,-37.7271,145.0009,Northern Metropolitan,21650
Balwyn North,32 Jaserfold St,2,h,1080K,Jellis,3/9/16,3104,2,1,1,253,,,Boroondara,-37.7912,145.085,Southern Metropolitan,7809
North Melbourne,4/175 Chetwynd St,2,u,720K,W.B.,10/12/16,3051,2,2,1,0,98,1998,Melbourne,-37.8015,144.9526,Northern Metropolitan,6821
Moonee Ponds,8 Pattison St,3,h,1162K,Jellis,23/09/2017,3039,3,1,2,619,129,1965,,-37.76996,144.93466,Western Metropolitan,6232
Strathmore,43 Henshall Rd,4,h,1430K,Nelson,16/04/2016,3041,4,2,1,607,224,1990,Moonee Valley,-37.7376,144.9154,Western Metropolitan,3284
Mill Park,23 Galilee Cr,3,h,705K,RW,8/7/17,3082,3,2,2,840,161,1970,Whittlesea,-37.67391,145.0618,Northern Metropolitan,10529
Reservoir,1/33 Oconnor St,2,t,672K,hockingstuart,29/07/2017,3073,2,1,1,243,120,2012,Darebin,-37.71045,145.0018,Northern Metropolitan,21650
Craigieburn,7 Eve Ct,3,h,582500,YPA,19/08/2017,3064,3,1,0,947,132,1972,,-37.59604,144.94022,Northern Metropolitan,15510
